NUMBER,I/O,TECHNIQUE,FIELD,VALID/INVALID,ID TEST,DESCRIPTION,CREDIT_CARD_NUMBER,ID_CARD,NAME_SURNAME,PHONE_NUMBER,ROOM_TYPE,ARRIVAL,NUM_DAYS,RESULT,"ECS, BV COVERED",freezetime,timestamp,
13,INPUT ,CE,IDCARD,INVALID,TC13,8 NUMBERS 2 LETTERS,"5105105105105100",12345678ZZ,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard format,ECVB9-BVNV5,,,
14,INPUT ,CE,IDCARD,INVALID,TC14,8 NUMBERS 9 LETTERS,"5105105105105100","12345678",Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard format,ECVB10-BVNV6,,,
15,INPUT,CE,NAME_SURNAME,INVALID,TC15,NAME 9 CHARACTERS 1 SPACE,"5105105105105100","12345678Z",JOSE LOPE,"+341234567",SUITE,"01/07/2024",10,Invalid name format,ECVVNV11-BVNV7,,,
16,INPUT,CE,NAME_SURNAME,INVALID,TC16,NAME 51 CHARACTERS 2 SPACES,"5105105105105100","12345678Z",Esmeralda Guillermina Pagatzaurtunduagoienengoazuak,"+341234567",SUITE,"01/07/2024",10,Invalid name format,ECNV12-BVNV8,,,
17,INPUT ,CE,NAME_SURNAME,INVALID,TC17,10 CHARACTERS NO SPACES,"5105105105105100","12345678Z",JOSESANCHO,"+341234567",SUITE,"01/07/2024",10,Invalid name format,ECNV13-BVNV9,,,
18,INPUT,CE ,NAME_SURNAME,INVALID,TC18,NAME DATATYPE,"5105105105105100","12345678Z",12345678,"+341234567",SUITE,"01/07/2024",10,Invalid name format,ECNV14,,,
19,INPUT,CE ,PHONENUMBER,INVALID,TC19,LETTERS IN THE PHONE NUMBER,"5105105105105100","12345678Z",JOSE LOPEZ,"+34A234567",SUITE,"01/07/2024",10,Invalid phone number format,ECNV22,,,
20,INPUT,CE ,PHONENUMBER,INVALID,TC20,PHONE NUMBER WITH 8 NUMBERS,"5105105105105100","12345678Z",JOSE LOPEZ,"+34123456",SUITE,"01/07/2024",10,Invalid phone number format,BVNV12,,,
21,INPUT,CE ,PHONENUMBER,INVALID,TC21,PHONE NUMBER WITH 10 NUMBERS,"5105105105105100","12345678Z",JOSE LOPEZ,"+3412345678",SUITE,"01/07/2024",10,Invalid phone number format,BVNV13,,,
22,INPUT,CE ,PHONENUMBER,INVALID,TC22,PHONE NUMBER WITH TWO +,"5105105105105100","12345678Z",JOSE LOPEZ,"++341234567",SUITE,"01/07/2024",10,Invalid phone number format,BVNV14,,,
23,INPUT,CE ,PHONENUMBER,INVALID,TC23,PHONE NUMBER WITHOUT +,"5105105105105100","12345678Z",JOSE LOPEZ,"341234567",SUITE,"01/07/2024",10,Invalid phone number format,BVNV15,,,
24,INPUT,CE ,PHONENUMBER,INVALID,TC24,PHONE NUMBER WITH LETTERS IN THE PREFIX,"5105105105105100","12345678Z",JOSE LOPEZ,"+A41234567",SUITE,"01/07/2024",10,Invalid phone number format,ECNV23,,,
25,INPUT,CE ,PHONENUMBER,INVALID,TC25,PHONE NUMBER WITH INTEGER INSTEAD OF STRING,"5105105105105100","12345678Z",JOSE LOPEZ,12345678,SUITE,"01/07/2024",10,Invalid phone number format,ECNV24,,,
26,INPUT,CE ,ROOMTYPE,INVALID,TC26,ROOM TYPE WITH A INVALID VALUE,"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",OTHER,"01/07/2024",10,Invalid roomtype value,ECNV15,,,
27,INPUT,CE ,ROOMTYPE,INVALID,TC27,ROOM TYPE WITH A INVALID VALUE,"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",12345,"01/07/2024",10,Invalid roomtype value,ECNV16,,,
28,INPUT ,CE,DATE,INVALID,TC28,INVALID DATE FORMAT,"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",SUITE,"01-07-24",10,Invalid date format,ECNV17,,,
29,INPUT,CE,NUMDAYS,INVALID,TC29,NUMDAYS < 1 (0),"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",SUITE,"01/07/2024",0,Numdays should be in the range 1-10,BVNV19,,,
30,INPUT,CE,NUMDAYS,INVALID,TC30,NUMDAYUS > 10 (11),"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",SUITE,"01/07/2024",11,Numdays should be in the range 1-10,BVNV20,,,
31,INPUT,CE,NUMDAYS,INVALID,TC31,NUMDAYUS > 10 (11),"5105105105105100","12345678Z",JOSE LOPEZ,"+341234567",SUITE,"01/07/2024","H",Invalid num_days datatype,ECNV21,,,
